response_id,run_id,model,model_label,model_run,dialogue_name,quality_dimension,score,rating
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Completeness,3.0,Acceptable
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Feedback behaviour,4.0,Good
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Usability,3.0,Acceptable
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Robustness,3.0,Acceptable
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Visual correctness,2.0,Poor
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Completeness,1.0,Very poor
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Feedback behaviour,3.0,Acceptable
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Usability,3.0,Acceptable
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Robustness,4.0,Good
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Visual correctness,2.0,Poor
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Completeness,5.0,Very good
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Feedback behaviour,4.0,Good
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Usability,4.0,Good
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Robustness,4.0,Good
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Visual correctness,4.0,Good
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Completeness,4.0,Good
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Feedback behaviour,3.0,Acceptable
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Usability,4.0,Good
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Robustness,3.0,Acceptable
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Visual correctness,2.0,Poor
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Completeness,2.0,Poor
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Feedback behaviour,3.0,Acceptable
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Usability,3.0,Acceptable
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Robustness,3.0,Acceptable
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Visual correctness,3.0,Acceptable
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Completeness,4.0,Good
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Feedback behaviour,4.0,Good
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Usability,4.0,Good
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Robustness,4.0,Good
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Visual correctness,3.0,Acceptable
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Completeness,2.0,Poor
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Feedback behaviour,3.0,Acceptable
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Usability,3.0,Acceptable
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Robustness,3.0,Acceptable
